"nombre","capacidad","CUSEC","long","lat","muni_code"
"cuartel del llano de las monjas",150,"0600601001",-6.99739633092497,39.220167460838,"06006"
"cuartel de la iglesia del castillo",100,"0600604001",-7.00221879810989,39.2178385088687,"06006"
"cuartel de santa clara",116,"1300502003",-3.20291498144417,39.3892557601103,"13005"
"cuartel grande y chico de san francisco",1097,"0601501012",-6.97243964543945,38.8771216714769,"06015"
"cuartel de san agustin",650,"0601501005",-6.97137462112472,38.8814551139643,"06015"
"cuartel de la bomba",350,"0601505001",-6.97286561662118,38.8749552401508,"06015"
"cuartel de la misericordia",516,"1303403004",-3.92699416862825,38.9938570290646,"13034"
"cuartel de caballeria",120,"0609501003",-7.09791029999429,38.6853388942332,"06095"
"cuartel provisional de artilleria",300,"0608301003",-6.34532429307367,38.9195844395138,"06083"
"cuartel de caballeria",340,"0609501003",-7.09782446799856,38.685673886261,"06095"
"cuartel de san juan de dios",250,"0609501002",-7.10144315473067,38.6884876388304,"06095"
"trinidad",250,"4516804001",-4.02575627190693,39.8568553007084,"45168"
"san lazaro",400,"4516805001",-4.02316522867056,39.8662189216176,"45168"
"montaña",2497,"2807909010",-3.71776899865924,40.4242349961267,"28079"
"conde duque",1536,"2807901108",-3.71102801716812,40.4274737525891,"28079"
"san francisco",150,"2807901018",-3.71443197431798,40.4098922131522,"28079"
"reina cristina",1100,"2807903076",-3.680850336027,40.4079766524763,"28079"
"san nicolas",150,"2807901001",-3.71206800822011,40.4162884235448,"28079"
"docks",1735,"2807903095",-3.67742786041558,40.4018572766582,"28079"
"centro electrotecnico",310,"2807901107",-3.71374551589347,40.428953477131,"28079"
"cuartel de infanteria",300,"2807911193",-3.75282816003725,40.3695133938179,"28079"
"parque y maestranza de artilleria",600,"2807911193",-3.75282816003725,40.3695133938179,"28079"
"cuartel de infanteria",1313,"2807402014",-3.76689238165357,40.3322228231585,"28074"
"cuartel de artilleria",350,"2807919025",-3.61055780457205,40.4060783933875,"28079"
"cuartel de boyerizas y perreros",210,"2807908002",-3.77791504600563,40.5225237136911,"28079"
"cuartel del general zarco del valle",210,"2807908004",-3.7690969382365,40.5141745294551,"28079"
"cuartel de guardias de corps",460,"2801303003",-3.60731827913317,40.0311050369451,"28013"
"cuartel de guardias alabarderos",200,"2801304003",-3.61347148653951,40.0363921260185,"28013"
"cuartel del principe de asturias",1000,"2800501005",-3.36247431318763,40.4832751614502,"28005"
"cuartel del carmen",100,"2800501001",-3.36529399420237,40.481371491127,"28005"
"cuartel de los basilios",450,"2800501002",-3.3601481416709,40.4813752021799,"28005"
"cuartel de mendigorria",1000,"2800501005",-3.36235656070392,40.4852144319332,"28005"
"cuartel de la merced",100,"2800501001",-3.36717463389642,40.4785251849821,"28005"
"cuartel del general elorza",680,"2806502014",-3.72598937016744,40.3151122681263,"28065"
"cuartel de infanteria de santo domingo",550,"4625001009",-0.369455927852024,39.473919114703,"46250"
"cuartel de artilleria",600,"4625009029",-0.387187531135429,39.4502428513464,"46250"
"cuartel de infanteria de san juan de la ribera",900,"4625006007",-0.362324919861937,39.4718641326628,"46250"
"cuartel de caballeria de san juan de la ribera",800,"4625006007",-0.362324919861937,39.4718641326628,"46250"
"cuartel de monteolivete",550,"4625010011",-0.359072267677077,39.4590779584997,"46250"
"cuartel del pilar",150,"4625001022",-0.38292292069741,39.471441286085,"46250"
"cuartel del refugio",364,"4625001034",-0.381369034364714,39.4707272735681,"46250"
"cuartel de infanteria",320,"4619001027",-0.434277339180006,39.4993858458178,"46190"
"cuartel de artilleria",240,"4619001027",-0.434277339180006,39.4993858458178,"46190"
"cuadras provisionales para dos cuadras de ametralladoras",240,"4619001027",-0.434277339180006,39.4993858458178,"46190"
"cuartel de san francisco",200,"4614501003",-0.520715107218104,38.9896410148049,"46145"
"cuartel princesa mercedes",800,"0301407025",-0.502422784077583,38.3443316988373,"03014"
"cuartel de san francisco",457,"0301401014",-0.487739511999477,38.3447464329388,"03014"
"cuartel del rey",457,"0301401011",-0.485409103196244,38.3466696009792,"03014"
"cuartel de infanteria",580,"0300904002",-0.480414450774694,38.6975848812065,"03009"
"cuartel de antigones",1100,"3001601004",-0.978819560522643,37.6014204835156,"30016"
"cuartel del hospital",1200,"3001601004",-0.979092821069358,37.5999339282893,"30016"
"cuartel de garay",393,"3003003002",-1.13447248790762,37.9784741943525,"30030"
"cuartel de la alameda",350,"3002401015",-1.6854791260432,37.6837288200871,"30024"
"cuartel de san francisco",443,"0200307002",-1.85036160523868,38.990150847986,"02003"
"cuartel de la misericordia",484,"0401303011",-2.47222803150448,36.8385571523191,"04013"
"atarazanas",1031,"0801901001",2.17628957805961,41.3753067313025,"08019"
"santa madrona (?)",262,"0801903019",2.17217178135965,41.3740684764293,"08019"
"san pablo",280,"0801901004",2.16912848874961,41.3761063721309,"08019"
"san agustin",450,"0801901054",2.18156895752071,41.3876978251387,"08019"
"buensuceso",350,"0801901021",2.16927706093528,41.3843599553996,"08019"
"san fernando",956,"0801901037",2.18951247332853,41.3813882858306,"08019"
"caballeria (barceloneta)",579,"0801901039",2.18847476786554,41.3798807935778,"08019"
"jaime i",1486,"0801910054",2.19069259129702,41.3896804578326,"08019"
"docks",603,"0801910055",2.19802470267138,41.3905645174255,"08019"
"alfonso xiii",466,"0801902130",2.1445168756062,41.3800579450724,"08019"
"gerona",466,"0801907006",2.16871134112583,41.4096729448323,"08019"
"san francisco",466,"0802202001",1.84465972534783,42.1037646069637,"08022"
"cuartel",300,"0809602003",2.28597069223528,41.6089899778483,"08096"
"carmen",323,"0811301002",1.82657858832652,41.7245982846547,"08113"
"rambla",420,"0829803003",2.25322850136756,41.9272404882219,"08298"
"cuartel",302,"0830703003",1.72615467008537,41.2287456419422,"08307"
"cuartel de caballeria",182,"0830504002",1.69919492602799,41.3443045741631,"08305"
"cuartel de santo domingo",558,"1707904002",2.82749554416414,41.9859945610433,"17079"
"cuartel de san martin",469,"1707904002",2.82717009525151,41.9851072818061,"17079"
"cuartel de san francisco",100,"1707902001",2.82257854093776,41.9815187723709,"17079"
"antiguo mercado de ganado",500,"1707902001",2.82287882477662,41.9797112870319,"17079"
"castillo de san fernando (varios cuarteles)",2220,"1706601002",2.94691110829543,42.2737008253771,"17066"
"cuartel del carmen",430,"1711401001",2.49225699690373,42.1833865543604,"17114"
"cuartel de infanteria",304,"1714101004",1.92926607613616,42.4326128706661,"17141"
"cuartel de la panera",240,"2512004001",0.624113229357505,41.6177226899855,"25120"
"cuartel del castillo principal",780,"2512004001",0.626626924891771,41.6187448162733,"25120"
"cuartel castillo de gardeny",205,"2512003008",0.617198385747603,41.6089647732223,"25120"
"cuartel de jesuitas",250,"2520301001",1.46129711181932,42.3560515009065,"25203"
"cuartel del castillo principal",140,"2520301006",1.44658842883892,42.35838412233,"25203"
"cuartel de san agustin",755,"4314804001",1.25533472494993,41.1153169137207,"43148"
"cuartel del carro",300,"4314803001",1.26012084958217,41.1192899684733,"43148"
"cuartel de caballeria",392,"4312306003",1.10631757682016,41.1586250646787,"43123"
"cuartel para caballeria",200,"4316106004",1.25218768224965,41.2866945449095,"43161"
"santo domingo",314,"4315501005",0.525048906517716,40.8146483418918,"43155"
"fuerte bonete",140,"4315503001",0.524469430691588,40.8160335594471,"43155"
"castillo de san juan",147,"4315503001",0.524469430691588,40.8160335594471,"43155"
"cuartel del principe (castillo de la aljaferia)",1140,"5029707001",-0.896771401083149,41.6565990520685,"50297"
