"CUSEC","min_dist_army"
"0100901001",49118.2835414536
"0101001002",30879.6005037766
"0103101001",22714.7174846527
"0103301001",20360.7079213601
"0103701001",34380.0712528141
"0104101001",26646.6553600496
"0100801001",48561.00686823
"0101001001",37029.8621252597
"0103001001",29668.4333087669
"0103201001",17349.472851363
"0103901001",10950.581941939
"0100201002",35706.8307247434
"0100401001",35862.4449388604
"0100201007",32270.7202957842
"0101601001",31284.1951269595
"0102301001",21217.556888203
"0103401001",28572.5765055127
"0103601011",27908.6262727658
"0104301001",14719.0406204325
"0105101002",46138.0750946527
"0100201003",35312.3624191802
"0100201004",34782.814798869
"0101901001",21982.3474365688
"0102001001",50326.6089612852
"0103601004",25458.1743915597
"0103601007",24050.2550432063
"0104601001",60326.1875030116
"0101101001",29464.0117812466
"0101401001",48936.1390121776
"0102201001",25030.1991313574
"0101301001",52874.4792886754
"0102801001",42910.7291515386
"0103601002",24903.5897159757
"0103601009",25608.9386630148
"0104401001",37141.3337991502
"0105201001",31316.6650703396
"0105501001",55067.190643563
"0105701001",29018.4666527581
"0100201005",35216.8452214898
"0100201006",33012.6089407732
"0101701001",26274.6518049703
"0101801001",41503.2306828126
"0102101001",49211.1179870061
"0103601005",24078.195608716
"0103601006",24921.9063242431
"0104901001",60241.4566748127
"0105101001",41559.3013424739
"0105901025",52938.5053939338
"0100201001",42027.5999493361
"0100301001",36759.6459833273
"0100601001",53318.14314599
"0103601001",25354.7831388953
"0103601003",25661.4051484495
"0103601008",25031.307729301
"0103601010",25759.4265328115
"0105801001",41504.1984811574
"0105901003",52423.0875848339
"0105901012",52012.2113638999
"0105901014",51872.310529822
"0102701001",42943.9304861901
"0104201001",25642.8147067834
"0104301002",12519.4950490486
"0105101003",43776.228585992
"0105301001",47763.9801769365
"0105901033",53327.7565404991
"0105902016",53547.5376545742
"0105902018",52894.5260728915
"0105902025",52880.4552098394
"0104701001",55943.9597497977
"0105901027",52936.5961086323
"0105902003",52397.3316360804
"0105902004",52500.7910364814
"0105902040",52899.409710609
"0105903028",52047.259103196
"0105401001",42452.8935499189
"0105601001",33987.0455838464
"0105901018",51595.4886097756
"0105901036",53516.7893731524
"0105902015",53348.9591156715
"0105902030",52840.1583180698
"0105902032",52448.7647294812
"0105903001",52710.7315637429
"0105903003",53008.8760818017
"0105903019",52316.0183622106
"0105903036",52006.7587769729
"0105901001",52250.9384119538
"0105901015",51677.1710821615
"0105901030",53104.8044527224
"0105902002",52290.9915821209
"0105902010",53245.9877079907
"0105902017",53189.4801790841
"0105902035",51933.685598512
"0105902042",53307.5347586073
"0105903015",52344.7001893294
"0105903035",52095.9872829254
"0105901039",53399.2633493648
"0105902008",53551.5266720059
"0105902033",51549.5457561048
"0105902044",53597.0291170948
"0105903013",52667.392302354
"0105903025",52325.4499687986
"0105903032",51717.9657406837
"0105903040",51104.9235907619
"0105904002",51601.9640406814
"0105901017",51914.0676039027
"0105901035",53469.3402493295
"0105902014",53239.8181684871
"0105902031",52605.6494023238
"0105902046",53814.5036509387
"0105903002",52938.4160059849
"0105903018",52561.579566805
"0105903020",52141.9200496928
"0105903037",51530.056264306
"0105903039",50677.291114594
"0105904017",51184.5309931144
"0105901026",52832.25214866
"0105902005",52473.3406996678
"0105902006",52661.7569346185
"0105902021",52495.7512239121
"0105902024",52663.097855053
"0105902039",53136.7645429972
"0105903011",52899.778423851
"0105904004",51479.2791500021
"0105904005",51336.7767782059
"0105904025",50297.3494752027
"0105902001",52163.1587359186
"0105902009",53615.8943433235
"0105902011",53151.1606031343
"0105902034",51495.7835842568
"0105902036",53008.1539699229
"0105902045",53891.4862326582
"0105903023",52486.7673786607
"0105903026",52080.0462720206
"0105903034",51804.0143034639
"0105904018",51050.5429790952
"0105904020",51295.0587556808
"0105903004",52822.1722475173
"0105903014",52569.8983690513
"0105903041",50957.0666003591
"0105904001",51674.5323230147
"0105904012",51637.5859742197
"0105905012",54011.8325050802
"0105905014",53889.1025119903
"0105905038",52769.2402804317
"0105906002",50518.5413555523
"0190101002",55822.431715246
"0105904019",51236.4613887819
"0105904026",51175.7132313001
"0105904031",51270.9700500048
"0105905025",52298.7546982375
"0105905032",53042.738099401
"0105906001",48156.7807813882
"0200201001",45086.9034483171
"0105904008",51499.8543152083
"0105904021",51009.0772581968
"0105905015",53822.8057168145
"0105905022",53440.3652387441
"0105905030",53275.4733633678
"0105906003",50125.5057856941
"0190201001",64939.4250486721
"0200301005",4593.55664517541
"0105904006",51041.8889967535
"0105904007",51780.0195403116
"0105904022",50785.3688985741
"0105905010",53702.488164355
"0105905028",53608.9550183548
"0105905029",53125.3185492826
"0106001001",16221.5995145563
"0106101001",49990.722381689
"0190101001",55810.4691588195
"0105903038",51222.224495696
"0105904016",51395.5092184089
"0105904032",50491.8177956303
"0105905017",53611.6595088344
"0105905019",53508.0000796368
"0105905035",52878.2953521629
"0105905037",53210.7869999165
"0200301002",5013.07287097786
"0200301004",4633.49553235185
"0200301017",5403.56022194895
"0200302002",4777.40505946935
"0200302004",5169.18136971464
"0105904029",51060.9093154402
"0105905021",53339.8779985599
"0105905023",52354.4230016264
"0105905031",53855.0965467551
"0105905033",53354.3366497732
"0200301006",4682.02183780695
"0200301008",4762.74994140022
"0200301015",5113.25777981634
"0200302021",4950.00881812704
"0200302023",5560.08509510667
"0200303001",4608.04888080971
"0200303006",4658.88232843879
"0105905016",53684.9200892066
"0105905034",53074.9537443187
"0105905036",52761.2368762809
"0200301001",4865.7921472477
"0200301003",4852.17839911315
"0200302001",4794.51048121605
"0200302003",5072.08911617634
"0200302018",5386.54278911097
"0200302020",5163.89706444482
