provincia,nombre,direccion,tipo,latlon
asturias,Regimiento de Infantería 'Principe' nº 3,Crta.SI-4 (Noreña - Pruvia) 33510 Siero (Asturias),base/cuartel,"43.408563553099704, -5.735513898952921"
a coruna,Museo Histórico Militar de La Coruña,Plaza Carlos I s/n (15001 - A Coruña),museo,"43.369042499961544, -8.390108136074794"
a coruna,Cuartel General del Mando de Apoyo a la Maniobra (MAM),"Palacio de Capitanía, Pza. de la Constitución 5, 15001 A Coruña",HQ,"43.36935550720724, -8.393303115348731"
pontevedra,Brigada 'Galicia' VII,Base 'General Morillo' 36100 Pontevedra,base/cuartel,"42.38534096872136, -8.65285051297842"
bizkaia,Regimiento de Infantería Garellano Nº 45,"Aritz Bidea 121, Munguía. CP. 48100 Bizkaia",base/cuartel,"43.33854059615865, -2.8046496284541886"
gipuzkoa,USAC Loyola,"Acuartelamiento Loyola, Sierra Aralar Nº 51-53, San Sebastián - 20014 Guipúzcoa",USAC,"43.30800233521162, -1.9646578910212185"
gipuzkoa,"Regimiento de Infantería ""Tercio Viejo de Sicilia"" Nº 67","Acuartelamiento Loyola, Sierra Aralar Nº 51-53, San Sebastián - 20014 Guipúzcoa",base/cuartel,"43.30800233521162, -1.9646578910212185"
sevilla,Cuartel General Fuerza Terrestre del Ejército de Tierra,"Establecimiento Plaza de España. Plaza Ejército Español nº 1, 41004 , Sevilla",HQ,"37.37760808305989, -5.985485072033272"
sevilla,Segunda Subinspección General del Ejército (Sur),"Segunda Subinspección General del Ejército Sur, Acuartelamiento La Borbolla Avda. de la Borbolla 27-29, 41013 Sevilla",base/cuartel,"37.37558304340818, -5.984522803199359"
sevilla,Regimiento de Transmisiones nº32,"Regimiento de Transmisiones nº 32 (Dos Hermanas), Base ""El Copero"", Ctra Isla Menor S/N 41071 Dos Hermanas (Sevilla)",base/cuartel,"37.313644474805145, -6.003948178468454"
sevilla,Regimiento de Artilleria Antiaerea Nº 74,"Regimiento de Artilleria Antiaerea Nº 74 (Sevilla) Base de El Copero, C/ La Isla Menor S/N, 41071 Sevilla",base/cuartel,"37.313644474805145, -6.003948178468454"
sevilla,Batallón de Helicópteros de Maniobra IV,"Base de El Copero, C/ La Isla Menor S/N, 41071 Sevilla",base/cuartel,"37.31366153530396, -6.003722870876405"
sevilla,Agrupación de Apoyo Logístico nº 21,"Agrupación de Apoyo Logístico nº 21, Acuartelamiento Torreblanca, Carretera Sevilla - Málaga 41020 Sevilla.",base/cuartel,"37.38676289549091, -5.927425186689896"
sevilla,Centro de Historia y Cultura Militar Sur,"Centro de Historia y Cultura Militar Sur, Acuartelamiento de la Borbolla, Avenida de la Borbolla, 27-29, 41013 - Sevilla",museo,"37.37558304340818, -5.984522803199359"
sevilla,Museo Histórico Militar de Sevilla,"Museo Histórico Militar de Sevilla, Plaza de España, sn (Puerta de Aragón) 41013 – Sevilla",museo,"37.379084402285436, -5.980077119843001"
sevilla,Biblioteca Historico Militar de Sevilla,"Biblioteca Historico Militar de Sevilla Avda. de Portugal, sn (junto a la Puerta de Aragón) 41004 - Sevilla",biblioteca,"37.379084402285436, -5.980077119843001"
sevilla,Archivo Intermedio Militar Sur,"Archivo Intermedio Militar Sur, Acuartelamiento de la Borbolla Avenida de la Borbolla, 27-29 41013 - Sevilla",biblioteca,"37.37558304340818, -5.984522803199359"
cadiz,Centro de Formación de Tropa nº 2, ,formacion,"36.444852619087676, -6.21615409382788"
cadiz,Regimiento de Artillería de Costa nº 4,"Regimiento de Artillería de Costa nº 4 (San Fernando) Acuartelamiento ""Camposoto"" Carretera de Camposoto S/N, 11120 San Fernando (Cádiz)",base/cuartel,"36.44388448022819, -6.218818523122736"
malaga,Brigada 'Rey Alfonso XIII' II de la Legión,"Brigada 'Rey Alfonso XIII' II de la Legión, Acuartelamiento «Montejaque» Carretera Sevilla S/N, 29400 Ronda Málaga",base/cuartel,"36.76135469667743, -5.188406822393787"
almeria,Brigada 'Rey Alfonso XIII' II de la Legión,"Brigada 'Rey Alfonso XIII' II de la Legión, Base Álvarez Sotomayor, Carretera Campamento S/N 04240 Viator Almería",base/cuartel,"36.89767976823451, -2.4108294563302293"
granada,Mando de Adiestramiento y Doctrina,"Mando de Adiestramiento y Doctrina, Capitanía Pza. San Juan de la Cruz, 26, 18009-GRANADA",formacion,"37.17482564516124, -3.596283959930843"
granada,Mando de Adiestramiento y Doctrina,"Mando de Adiestramiento y Doctrina, La Merced, Acera San Idelfonso, s/n, 18010-GRANADA",formacion,"37.18319605905304, -3.5996151298341266"
cordoba,Brigada 'Guzmán el Bueno' X,"BRIGADA X, Base de Cerro Muriano, Ctra. Córdoba-Badajoz, Km. 253, 14350 Cerro Muriano (Córdoba)",base/cuartel,"38.017074881169066, -4.781047122770005"
