reg_militar;lugar;nombre;capacidad;coords;
1;albuquerque;cuartel del llano de las monjas;150;39.22016746083798, -6.997396330924975;
1;albuquerque;cuartel de la iglesia del castillo;100;39.21783850886866, -7.0022187981098885;
1;alcazar de san juan;cuartel de santa clara;116;39.38925576011027, -3.2029149814441746;
1;badajoz;cuartel grande y chico de san francisco;1097;38.87712167147691, -6.972439645439453;
1;badajoz;cuartel de san agustin;650;38.88145511396434, -6.971374621124718;
1;badajoz;cuartel de la bomba;350;38.874955240150825, -6.97286561662118;
1;badajoz;cuartel de gitanos;8;;
1;ciudad real;cuartel de tahonas;70;;
1;ciudad real;cuartel de la misericordia;516;38.99385702906455, -3.9269941686282492;
1;olivenza;cuartel de caballeria;120;38.68533889423316, -7.097910299994293;
1;merida;cuartel provisional de artilleria;300;38.91958443951381, -6.34532429307367;
1;olivenza;cuartel de caballeria;340;38.68567388626101, -7.09782446799856;
1;olivenza;cuartel de san juan de dios;250;38.68848763883036, -7.101443154730666;
1;toledo;trinidad;250;39.856855300708425, -4.02575627190693;
1;toledo;san lazaro;400;39.86621892161755, -4.023165228670562;
1;ocaña;posito;90;39.95768606497353, -3.4979939621774716;
1;talavera de la reina;san juan de dios;40;;
1;cuenca;san francisco;10;;
1;tarancon;la quinita;4;;
1;jaen;san agustin;4;;
1;jaen;la remonta;38;;
1;jaen;el positillo;10;;
1;ubeda;san andres;30;;
1;baeza;de sementales;90;;
1;madrid;montaña;2497;40.42423499612674, -3.7177689986592397;
1;madrid;conde duque;1536;40.42747375258911, -3.7110280171681165;
1;madrid;san francisco;150;40.40989221315216, -3.7144319743179786;
1;madrid;reina cristina;1100;40.407976652476265, -3.680850336027;
1;madrid;san nicolas;150;40.41628842354479, -3.712068008220107;
1;madrid;docks;1735;40.40185727665819, -3.677427860415578;
1;madrid;centro electrotecnico;310;40.428953477131024, -3.7137455158934722;
1;carabanchel;cuartel de infanteria;300;40.369513393817904, -3.7528281600372475;
1;carabanchel;parque y maestranza de artilleria;600;40.369513393817904, -3.7528281600372475;
1;leganes;cuartel de infanteria;1313;40.33222282315848, -3.766892381653567;
1;vicalvaro;cuartel de artilleria;350;40.40607839338751, -3.6105578045720494;
1;el pardo;cuartel de boyerizas y perreros;210;40.52252371369112, -3.777915046005631;
1;el pardo;cuartel del general zarco del valle;210;40.51417452945514, -3.7690969382365;
