"CUSEC","army","army_noHQ","army_nb","army_nb10","army_nb5","army_nb2","army_noHQ_nb","army_noHQ_nb10","army_noHQ_nb5","army_noHQ_nb2"
"0100901001",0,0,0,0,0,0,0,0,0,0
"0101001002",0,0,0,0,0,0,0,0,0,0
"0103101001",0,0,0,0,0,0,0,0,0,0
"0103301001",0,0,0,0,0,0,0,0,0,0
"0103701001",0,0,0,0,0,0,0,0,0,0
"0104101001",0,0,0,0,0,0,0,0,0,0
"0100801001",0,0,0,0,0,0,0,0,0,0
"0101001001",0,0,0,0,0,0,0,0,0,0
"0103001001",0,0,0,0,0,0,0,0,0,0
"0103201001",0,0,0,0,0,0,0,0,0,0
"0103901001",0,0,0,0,0,0,0,0,0,0
"0100201002",0,0,0,0,0,0,0,0,0,0
"0100401001",0,0,0,0,0,0,0,0,0,0
"0100201007",0,0,0,0,0,0,0,0,0,0
"0101601001",0,0,0,0,0,0,0,0,0,0
"0102301001",0,0,0,0,0,0,0,0,0,0
"0103401001",0,0,0,0,0,0,0,0,0,0
"0103601011",0,0,0,0,0,0,0,0,0,0
"0104301001",0,0,0,0,0,0,0,0,0,0
"0105101002",0,0,0,0,0,0,0,0,0,0
"0100201003",0,0,0,0,0,0,0,0,0,0
"0100201004",0,0,0,0,0,0,0,0,0,0
"0101901001",0,0,0,0,0,0,0,0,0,0
"0102001001",0,0,0,0,0,0,0,0,0,0
"0103601004",0,0,0,0,0,0,0,0,0,0
"0103601007",0,0,0,0,0,0,0,0,0,0
"0104601001",0,0,0,0,0,0,0,0,0,0
"0101101001",0,0,0,0,0,0,0,0,0,0
"0101401001",0,0,0,0,0,0,0,0,0,0
"0102201001",0,0,0,0,0,0,0,0,0,0
"0101301001",0,0,0,0,0,0,0,0,0,0
"0102801001",0,0,0,0,0,0,0,0,0,0
"0103601002",0,0,0,0,0,0,0,0,0,0
"0103601009",0,0,0,0,0,0,0,0,0,0
"0104401001",0,0,0,0,0,0,0,0,0,0
"0105201001",0,0,0,0,0,0,0,0,0,0
"0105501001",0,0,0,0,0,0,0,0,0,0
"0105701001",0,0,0,0,0,0,0,0,0,0
"0100201005",0,0,0,0,0,0,0,0,0,0
"0100201006",0,0,0,0,0,0,0,0,0,0
"0101701001",0,0,0,0,0,0,0,0,0,0
"0101801001",0,0,0,0,0,0,0,0,0,0
"0102101001",0,0,0,0,0,0,0,0,0,0
"0103601005",0,0,0,0,0,0,0,0,0,0
"0103601006",0,0,0,0,0,0,0,0,0,0
"0104901001",0,0,0,0,0,0,0,0,0,0
"0105101001",0,0,0,0,0,0,0,0,0,0
"0105901025",0,0,0,0,0,0,0,0,0,0
"0100201001",0,0,0,0,0,0,0,0,0,0
"0100301001",0,0,0,0,0,0,0,0,0,0
"0100601001",0,0,0,0,0,0,0,0,0,0
"0103601001",0,0,0,0,0,0,0,0,0,0
"0103601003",0,0,0,0,0,0,0,0,0,0
"0103601008",0,0,0,0,0,0,0,0,0,0
"0103601010",0,0,0,0,0,0,0,0,0,0
"0105801001",0,0,0,0,0,0,0,0,0,0
"0105901003",0,0,0,0,0,0,0,0,0,0
"0105901012",0,0,0,0,0,0,0,0,0,0
"0105901014",0,0,0,0,0,0,0,0,0,0
"0102701001",0,0,0,0,0,0,0,0,0,0
"0104201001",0,0,0,0,0,0,0,0,0,0
"0104301002",0,0,0,0,0,0,0,0,0,0
"0105101003",0,0,0,0,0,0,0,0,0,0
"0105301001",0,0,0,0,0,0,0,0,0,0
"0105901033",0,0,0,0,0,0,0,0,0,0
"0105902016",0,0,0,0,0,0,0,0,0,0
"0105902018",0,0,0,0,0,0,0,0,0,0
"0105902025",0,0,0,0,0,0,0,0,0,0
