"provincia","nombre","tipo","CUSEC","long","lat"
"asturias","Regimiento de Infanteria 'Principe' n 3","base/cuartel","3306601005",-5.73551389895292,43.4085635530997
"a coruna","Museo Historico Militar de La Coruna","museo","1503001005",-8.39010813607479,43.3690424999615
"a coruna","Cuartel General del Mando de Apoyo a la Maniobra (MAM)","HQ","1503001005",-8.39330311534873,43.3693555072072
"pontevedra","Brigada 'Galicia' VII","base/cuartel","3603803002",-8.65285051297842,42.3853409687214
"bizkaia","Regimiento de Infanteria Garellano N 45","base/cuartel","4803801001",-2.80464962845419,43.3385405961587
"gipuzkoa","USAC Loyola","USAC","2006904014",-1.96465789102122,43.3080023352116
"gipuzkoa","Regimiento de Infanteria ""Tercio Viejo de Sicilia"" N 67","base/cuartel","2006904014",-1.96465789102122,43.3080023352116
"sevilla","Cuartel General Fuerza Terrestre del Ejercito de Tierra","HQ","4109105023",-5.98548507203327,37.3776080830599
"sevilla","Segunda Subinspeccion General del Ejercito (Sur)","base/cuartel","4109105019",-5.98452280319936,37.3755830434082
"sevilla","Regimiento de Transmisiones n32","base/cuartel","4103805002",-6.00394817846845,37.3136444748051
"sevilla","Regimiento de Artilleria Antiaerea N 74","base/cuartel","4103805002",-6.00394817846845,37.3136444748051
"sevilla","Batallon de Helicopteros de Maniobra IV","base/cuartel","4103805002",-6.00372287087641,37.313661535304
"sevilla","Agrupacion de Apoyo Logistico n 21","base/cuartel","4109109004",-5.9274251866899,37.3867628954909
"sevilla","Centro de Historia y Cultura Militar Sur","museo","4109105019",-5.98452280319936,37.3755830434082
"sevilla","Museo Historico Militar de Sevilla","museo","4109103003",-5.980077119843,37.3790844022854
"sevilla","Biblioteca Historico Militar de Sevilla","biblioteca","4109103003",-5.980077119843,37.3790844022854
"sevilla","Archivo Intermedio Militar Sur","biblioteca","4109105019",-5.98452280319936,37.3755830434082
"cadiz","Centro de Formacion de Tropa n 2","formacion","1103106031",-6.21615409382788,36.4448526190877
